Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
1713,H30049,Focal chorioretinitis and focal retinochoroiditis,posterior uveitis,EYE004,"Focal chorioretinal inflammation, macular or paramacular, unspecified eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1714,H30101,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Unspecified disseminated chorioretinal inflammation, right eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1715,H30102,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Unspecified disseminated chorioretinal inflammation, left eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1716,H30103,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Unspecified disseminated chorioretinal inflammation, bilateral                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1717,H30109,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Unspecified disseminated chorioretinal inflammation, unspecified eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1718,H30111,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation of posterior pole, right eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1719,H30112,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation of posterior pole, left eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1720,H30113,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation of posterior pole, bilateral              ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1721,H30119,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation of posterior pole, unspecified eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1722,H30121,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, peripheral right eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1723,H30122,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, peripheral, left eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1724,H30123,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, peripheral, bilateral                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1725,H30129,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, peripheral, unspecified eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1726,H30131,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, generalized, right eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1727,H30132,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, generalized, left eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1728,H30133,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, generalized, bilateral                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1729,H30139,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Disseminated chorioretinal inflammation, generalized, unspecified eye               ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1730,H30141,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Acute posterior multifocal placoid pigment epitheliopathy, right eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1731,H30142,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Acute posterior multifocal placoid pigment epitheliopathy, left eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1732,H30143,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Acute posterior multifocal placoid pigment epitheliopathy, bilateral              ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1733,H30149,Disseminated chorioretinitis and disseminated retinochoroiditis,posterior uveitis,EYE004,"Acute posterior multifocal placoid pigment epitheliopathy, unspecified eye             ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1734,H3020,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Posterior cyclitis, unspecified eye                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1735,H3021,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Posterior cyclitis, right eye                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1736,H3022,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Posterior cyclitis, left eye                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1737,H3023,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Posterior cyclitis, bilateral                  ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1738,H30811,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Harada's disease, right eye                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1739,H30812,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Harada's disease, left eye                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1740,H30813,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Harada's disease, bilateral                  ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1741,H30819,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Harada's disease, unspecified eye                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1742,H30891,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Other chorioretinal inflammations, right eye                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1743,H30892,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Other chorioretinal inflammations, left eye                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1744,H30893,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Other chorioretinal inflammations, bilateral                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1745,H30899,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Other chorioretinal inflammations, unspecified eye                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1746,H3090,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Unspecified chorioretinal inflammation, unspecified eye                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1747,H3091,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Unspecified chorioretinal inflammation, right eye                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1748,H3092,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Unspecified chorioretinal inflammation, left eye                ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1749,H3093,Other and unspecified forms of chorioretinitis and retinochoroiditis,posterior uveitis,EYE004,"Unspecified chorioretinal inflammation, bilateral                 ",Not breaking posterior uveitis down further since most uveitis cases (~80%) affect the anterior portion
1750,H31001,Chorioretinal scar,chorioretinal scars,EYE005,"Unspecified chorioretinal scars, right eye                ",
1751,H31002,Chorioretinal scar,chorioretinal scars,EYE005,"Unspecified chorioretinal scars, left eye                ",
1752,H31003,Chorioretinal scar,chorioretinal scars,EYE005,"Unspecified chorioretinal scars, bilateral                 ",
1753,H31009,Chorioretinal scar,chorioretinal scars,EYE005,"Unspecified chorioretinal scars, unspecified eye                ",
1754,H31011,Chorioretinal scar,chorioretinal scars,EYE005,"Macula scars of posterior pole (postinflammatory) (post-traumatic), right eye            ",
1755,H31012,Chorioretinal scar,chorioretinal scars,EYE005,"Macula scars of posterior pole (postinflammatory) (post-traumatic), left eye            ",
1756,H31013,Chorioretinal scar,chorioretinal scars,EYE005,"Macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral             ",
1757,H31019,Chorioretinal scar,chorioretinal scars,EYE005,"Macula scars of posterior pole (postinflammatory) (post-traumatic), unspecified eye            ",
1758,H31021,Chorioretinal scar,chorioretinal scars,EYE005,"Solar retinopathy, right eye                 ",
