"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"1625","H26.061","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Combined forms of infantile and juvenile cataract, right eye            "
"1626","H26.062","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Combined forms of infantile and juvenile cataract, left eye            "
"1627","H26.063","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Combined forms of infantile and juvenile cataract, bilateral             "
"1628","H26.069","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Combined forms of infantile and juvenile cataract, unspecified eye            "
"1629","H26.09","Infantile juvenile and presenile cataract","cataract, infantile/juvenile ","EYE002","Other infantile and juvenile cataract                "
"1630","H26.101","Traumatic cataract","cataract, traumatic","EYE002","Unspecified traumatic cataract, right eye                "
"1631","H26.102","Traumatic cataract","cataract, traumatic","EYE002","Unspecified traumatic cataract, left eye                "
"1632","H26.103","Traumatic cataract","cataract, traumatic","EYE002","Unspecified traumatic cataract, bilateral                 "
"1633","H26.109","Traumatic cataract","cataract, traumatic","EYE002","Unspecified traumatic cataract, unspecified eye                "
"1634","H26.111","Traumatic cataract","cataract, traumatic","EYE002","Localized traumatic opacities, right eye                "
"1635","H26.112","Traumatic cataract","cataract, traumatic","EYE002","Localized traumatic opacities, left eye                "
"1636","H26.113","Traumatic cataract","cataract, traumatic","EYE002","Localized traumatic opacities, bilateral                 "
"1637","H26.119","Traumatic cataract","cataract, traumatic","EYE002","Localized traumatic opacities, unspecified eye                "
"1638","H26.121","Traumatic cataract","cataract, traumatic","EYE002","Partially resolved traumatic cataract, right eye               "
"1639","H26.122","Traumatic cataract","cataract, traumatic","EYE002","Partially resolved traumatic cataract, left eye               "
"1640","H26.123","Traumatic cataract","cataract, traumatic","EYE002","Partially resolved traumatic cataract, bilateral                "
"1641","H26.129","Traumatic cataract","cataract, traumatic","EYE002","Partially resolved traumatic cataract, unspecified eye               "
"1642","H26.131","Traumatic cataract","cataract, traumatic","EYE002","Total traumatic cataract, right eye                "
"1643","H26.132","Traumatic cataract","cataract, traumatic","EYE002","Total traumatic cataract, left eye                "
"1644","H26.133","Traumatic cataract","cataract, traumatic","EYE002","Total traumatic cataract, bilateral                 "
"1645","H26.139","Traumatic cataract","cataract, traumatic","EYE002","Total traumatic cataract, unspecified eye                "
"1646","H26.20","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Unspecified complicated cataract                  "
"1647","H26.211","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract with neovascularization, right eye                "
"1648","H26.212","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract with neovascularization, left eye                "
"1649","H26.213","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract with neovascularization, bilateral                 "
"1650","H26.219","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract with neovascularization, unspecified eye                "
"1651","H26.221","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract secondary to ocular disorders (degenerative) (inflammatory), right eye            "
"1652","H26.222","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract secondary to ocular disorders (degenerative) (inflammatory), left eye            "
"1653","H26.223","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract secondary to ocular disorders (degenerative) (inflammatory), bilateral             "
"1654","H26.229","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Cataract secondary to ocular disorders (degenerative) (inflammatory), unspecified eye            "
"1655","H26.231","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Glaucomatous flecks (subcapsular), right eye                "
"1656","H26.232","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Glaucomatous flecks (subcapsular), left eye                "
"1657","H26.233","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Glaucomatous flecks (subcapsular), bilateral                 "
"1658","H26.239","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Glaucomatous flecks (subcapsular), unspecified eye                "
"1659","H26.30","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Drug-induced cataract, unspecified eye                 "
"1660","H26.31","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Drug-induced cataract, right eye                 "
"1661","H26.32","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Drug-induced cataract, left eye                 "
"1662","H26.33","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Drug-induced cataract, bilateral                  "
"1663","H26.40","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Unspecified secondary cataract                  "
"1664","H26.411","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Soemmering's ring, right eye                 "
"1665","H26.412","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Soemmering's ring, left eye                 "
"1666","H26.413","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Soemmering's ring, bilateral                  "
"1667","H26.419","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Soemmering's ring, unspecified eye                 "
"1668","H26.491","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Other secondary cataract, right eye                "
"1669","H26.492","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Other secondary cataract, left eye                "
"1670","H26.493","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Other secondary cataract, bilateral                 "
"1671","H26.499","Cataract secondary to ocular disorders","cataract, secondary","EYE002","Other secondary cataract, unspecified eye                "
"1672","H26.8","Other cataract","cataract, other/unspec","EYE002","Other specified cataract                  "
"1673","H26.9","Other cataract","cataract, other/unspec","EYE002","Unspecified cataract                   "
"1674","H27.00","Aphakia and other disorders of lens","aphakia","EYE002","Aphakia, unspecified eye                  "
"1675","H27.01","Aphakia and other disorders of lens","aphakia","EYE002","Aphakia, right eye                  "
"1676","H27.02","Aphakia and other disorders of lens","aphakia","EYE002","Aphakia, left eye                  "
"1677","H27.03","Aphakia and other disorders of lens","aphakia","EYE002","Aphakia, bilateral                   "
"1678","H27.10","Aphakia and other disorders of lens","lens dislocation","EYE002","Unspecified dislocation of lens                 "
"1679","H27.111","Aphakia and other disorders of lens","lens dislocation","EYE002","Subluxation of lens, right eye                "
"1680","H27.112","Aphakia and other disorders of lens","lens dislocation","EYE002","Subluxation of lens, left eye                "
"1681","H27.113","Aphakia and other disorders of lens","lens dislocation","EYE002","Subluxation of lens, bilateral                 "
"1682","H27.119","Aphakia and other disorders of lens","lens dislocation","EYE002","Subluxation of lens, unspecified eye                "
"1683","H27.121","Aphakia and other disorders of lens","lens dislocation","EYE002","Anterior dislocation of lens, right eye               "
"1684","H27.122","Aphakia and other disorders of lens","lens dislocation","EYE002","Anterior dislocation of lens, left eye               "
"1685","H27.123","Aphakia and other disorders of lens","lens dislocation","EYE002","Anterior dislocation of lens, bilateral                "
"1686","H27.129","Aphakia and other disorders of lens","lens dislocation","EYE002","Anterior dislocation of lens, unspecified eye               "
"1687","H27.131","Aphakia and other disorders of lens","lens dislocation","EYE002","Posterior dislocation of lens, right eye               "
"1688","H27.132","Aphakia and other disorders of lens","lens dislocation","EYE002","Posterior dislocation of lens, left eye               "
"1689","H27.133","Aphakia and other disorders of lens","lens dislocation","EYE002","Posterior dislocation of lens, bilateral                "
"1690","H27.139","Aphakia and other disorders of lens","lens dislocation","EYE002","Posterior dislocation of lens, unspecified eye               "
"1691","H27.8","Aphakia and other disorders of lens","other/unspec lens disorder","EYE002","Other specified disorders of lens                "
"1692","H27.9","Aphakia and other disorders of lens","other/unspec lens disorder","EYE002","Unspecified disorder of lens                 "
"1694","H30.001","Focal chorioretinitis and focal retinochoroiditis","posterior uveitis","EYE004","Unspecified focal chorioretinal inflammation, right eye               "
"1695","H30.002","Focal chorioretinitis and focal retinochoroiditis","posterior uveitis","EYE004","Unspecified focal chorioretinal inflammation, left eye               "
